01072021;820;A;SAR;1,3344;1,3347;3,7504;3,7506
02072021;820;A;SAR;1,3408;1,3410;3,7504;3,7506
05072021;820;A;SAR;1,3526;1,3534;3,7497;3,7514
06072021;820;A;SAR;1,3767;1,3771;3,7504;3,7510
07072021;820;A;SAR;1,3950;1,3952;3,7505;3,7507
08072021;820;A;SAR;1,4017;1,4021;3,7506;3,7512
09072021;820;A;SAR;1,3962;1,3969;3,7507;3,7509
12072021;820;A;SAR;1,3925;1,3928;3,7507;3,7509
13072021;820;A;SAR;1,3802;1,3804;3,7503;3,7506
14072021;820;A;SAR;1,3564;1,3567;3,7504;3,7506
15072021;820;A;SAR;1,3596;1,3598;3,7506;3,7508
16072021;820;A;SAR;1,3578;1,3582;3,7506;3,7512
19072021;820;A;SAR;1,3856;1,3859;3,7506;3,7508
20072021;820;A;SAR;1,3986;1,3988;3,7506;3,7508
21072021;820;A;SAR;1,3998;1,4002;3,7506;3,7512
22072021;820;A;SAR;1,3856;1,3858;3,7507;3,7509
23072021;820;A;SAR;1,3782;1,3784;3,7508;3,7510
26072021;820;A;SAR;1,3823;1,3828;3,7506;3,7515
27072021;820;A;SAR;1,3775;1,3777;3,7504;3,7506
28072021;820;A;SAR;1,3737;1,3739;3,7504;3,7506
29072021;820;A;SAR;1,3511;1,3514;3,7504;3,7506
30072021;820;A;SAR;1,3653;1,3657;3,7501;3,7507
02082021;820;A;SAR;1,3698;1,3700;3,7502;3,7504
03082021;820;A;SAR;1,3987;1,3992;3,7497;3,7505
04082021;820;A;SAR;1,3887;1,3891;3,7499;3,7505
05082021;820;A;SAR;1,3721;1,3723;3,7501;3,7503
06082021;820;A;SAR;1,3973;1,3975;3,7502;3,7504
09082021;820;A;SAR;1,4070;1,4072;3,7502;3,7504
10082021;820;A;SAR;1,3922;1,3924;3,7501;3,7503
11082021;820;A;SAR;1,3867;1,3869;3,7502;3,7504
12082021;820;A;SAR;1,3957;1,3960;3,7502;3,7504
13082021;820;A;SAR;1,3988;1,3992;3,7502;3,7508
16082021;820;A;SAR;1,3995;1,3997;3,7504;3,7506
17082021;820;A;SAR;1,4019;1,4021;3,7504;3,7506
18082021;820;A;SAR;1,4137;1,4139;3,7503;3,7505
19082021;820;A;SAR;1,4444;1,4447;3,7503;3,7505
20082021;820;A;SAR;1,4469;1,4473;3,7500;3,7506
23082021;820;A;SAR;1,4313;1,4316;3,7502;3,7504
24082021;820;A;SAR;1,4135;1,4137;3,7502;3,7504
25082021;820;A;SAR;1,3987;1,3990;3,7503;3,7505
26082021;820;A;SAR;1,3975;1,3979;3,7505;3,7511
27082021;820;A;SAR;1,3914;1,3919;3,7503;3,7511
30082021;820;A;SAR;1,3850;1,3852;3,7505;3,7507
31082021;820;A;SAR;1,3711;1,3713;3,7506;3,7508
01092021;820;A;SAR;1,3750;1,3752;3,7504;3,7506
02092021;820;A;SAR;1,3792;1,3795;3,7504;3,7506
03092021;820;A;SAR;1,3778;1,3783;3,7499;3,7507
06092021;820;A;SAR;1,3803;1,3805;3,7503;3,7505
08092021;820;A;SAR;1,4002;1,4005;3,7505;3,7507
09092021;820;A;SAR;1,4081;1,4086;3,7503;3,7511
10092021;820;A;SAR;1,3905;1,3907;3,7505;3,7507
13092021;820;A;SAR;1,3913;1,3915;3,7506;3,7508
14092021;820;A;SAR;1,3931;1,3934;3,7506;3,7508
15092021;820;A;SAR;1,4016;1,4018;3,7506;3,7508
16092021;820;A;SAR;1,4022;1,4027;3,7495;3,7503
17092021;820;A;SAR;1,4160;1,4163;3,7495;3,7498
20092021;820;A;SAR;1,4220;1,4222;3,7500;3,7502
21092021;820;A;SAR;1,4142;1,4144;3,7502;3,7504
